number,short_description,kb_category,meta
KB0016622,Cannot Login to Submit Tax Transcript,TAMUCT,"KCS, transcript, tax, submit, login, logon, in, on, log, unable, can't, cant, locked, error, message, tamuct-pm.campuslogic.com, "
KB0015188,SD card lost data,Hardware Repair,"KCS, sd_card, lost_data, sd card lost data, lost data, drive format, "
KB0014689,TAMUCT - Password Reset,TAMUCT,"KCS, warrior web, tamuct, central_texas, sspr, password, reset, forgot, wpm, access code, reset password, warrior web password, default warrior web password, default password tamuct, tamuct password warrior web, wpm password, wpm default"
KB0019952,Degree Planner - Invalid Syntax Error,,"KCS, degree planner, howdy, syntax error, invalid syntax, "
KB0015594,Gmail Account Disabled,Google Apps,"account, gmail google apps, gmail, google, google apps, account disabled, locked, "
KB0018008,Google Apps - Continuing Education Student Account,Google Apps/Drive,"KCS, continuing_education_student, continuing_education_student_email, continuing_education_student_gmail, Google apps, google_apps,"
KB0015947,Google Apps - Account Disabled,Google Apps,"account disabled, netid, lost access to email, former student, email forwarding, retain email, google apps, google take out, "
KB0015403,TAMUCT - Former Student,TAMUCT,"TamuCT_self-service, TamuCT_self_service, tamuct, tamuct self-service, tamuct self service, Locked_out_of_tamuct_Alumni_portal, Locked out of tamuct Alumni portal, Former student Tamuct, Tamuct former student, tamuct alumni, Former_student_Tamuct, Tamuct_former_student, tamuct_alumni, Locked out of Alumni Website, tamuct transcript, tamuct support, "
KB0019116,Unable to Access Google Drive File Stream,macOS Applications,"KCS, google_file_stream, file_stream, file_stream_error"
KB0016241,Google File Stream,Google Apps/Drive,"KCS, tamu, drive, google, file, stream, bandwidth, time, out, nothing, saved, saves, files, not, updating, updated"
KB0016344,Application - Google File Stream Error,Google Apps/Drive,"KCS, google file stream error, google file stream, google system extension blocked, system blocked, google drive file stream"
KB0015894,Google Drive - Direct Download Link,Google Apps,"Google drive, google apps, direct download link, download link from google drive, Google drive download link, "
KB0015658,Work Computer - Cannot Login Reference Account Locked,Other Tech Support,"work station, work computer, workstation, koldus, log in, referenced account locked, cannot sign into work computer, cannot login to work computer, cannot login to work, cannot sign in work, cannot sign in workstation, work computer log in,"
KB0016041,Howdy - Cannot Log In,Howdy,"KCS, cannot log into howdy, invalid credentials howdy, howdy unable to sign in, cant sign into howdy, howdy log in, howdy sign in, howdy password"
KB0020533,Shared Calendar ,,KCS
KB0020519,"Word .DOCX and .ASD Files, created from exported Google Doc file containing equations are not saving",,KCS
KB0017195,Malware - Virus Pop Up Message,Malware Removal,"KCS, virus, pop_up, popup, message won't go away, ransomware, adware, malware, malware removal"
KB0016343,Unable to Activate Office 2016,Office,"KCS, office, 2016, download, downloading, purchase, purchased, product, key, unable, activate, activated, issue, entered, cannot, found, database, windows, 10, error, uninstall, "
KB0018102,Howdy - TA Unable to View Courses,Howdy,"KCS, ta, teaching assistant, unable to view courses, can't view courses, GAT, AC_TA, compass, compass admin page, SWASECT, howdy.tamu.edu, howdy"
KB0014888,iPhone not syncing on Exchange,"Email, Calendar, and Collaboration","exchange, iphone, sync, email, ipad, apple, mail"
KB0014910,How can I access TAMU email? - Applicant,"Email, Calendar, and Collaboration","KCS, applicants, applicant access, applicant information, applicant email, email for applicants, email lifecycle, tamu gmail, applicant_tamu_email, tamu_email_for_applicant, applicant, applied student, non-admitted"
KB0014915,Mac Freezes at Bootup,macOSX,"KCS, MAC, OSX, mac won't boot, boot issues mac, mac boot issues, mac freezes, osx corruption, software corruption"
KB0018781,Time Clock Plus ,,"KCS, time_clock_plus, hsc_time_clock, time_clock, hsc"
KB0014906,Unable to Restart Computer,Windows 10 OS,"KCS, cannot restart, software corruption, os corruption, cannot shutdown, computer won't turn off, computer won't restart, can't restart computer, "
KB0015087,Mac won't boot,macOSX,"KCS, computer_won't_boot, mac_won't_boot, cannot boot, too_many_corpses_being_created, unable to boot mac, macbook, mac cannot finish booting, "
KB0014893,Checking to see if email was sent ,"Email, Calendar, and Collaboration","email, relay, confidential_information, social_security, ssn, delivery"
KB0014645,Computer is running slow,Windows 10 OS,"KCS, zbook, zbook slow, slow zbook, slow_computer"
KB0014908,Microsoft Edge Popup- Malware scans are clean,Windows 10 OS,"KCS, adware, edge, registry edit, adware, popup, malware, microsoft_edge, recovering tab, remove_popup, "
KB0015080,Windows 10 activation,Windows Applications,"KCS, windows, mac, bootcamp, windows_10, activation, product_key, activate_product_key"
KB0015086,Keyboard hotkeys are not working,Windows 10 OS,"KCS, hotkeys, drivers, keyboard_drivers, asus_rog_keyboard, "
KB0014741,Junk email from the University,Security,"KCS, email_lists, unsubscribe, gateway, tamu-opt-out, TAMU_email_lists, "
KB0014926,Not Enough Space on Geography Home Drive,Other Tech Support,"KCS, geography drive, departmental drive, more_space_on_departmental_drive"
